id,name,country,country_code,abbreviation,gender,pro_year,handedness,highest_singles_ranking,highest_doubles_ranking,weight,height,date_of_birth,highest_singles_ranking_date,highest_doubles_ranking_date,Clothing,Shoes,Racket,Sleeve/Shirt/Cap
sr:competitor:443702,"Burruchaga, Roman Andres",Argentina,ARG,BUR,male,,right,124.0,191.0,,,2002-01-23,8.2024,10.2022,,,,
sr:competitor:418213,"Diallo, Gabriel",Canada,CAN,DIA,male,,right,86.0,321.0,,,2001-09-24,11.2024,1.2024,,,,
sr:competitor:36300,"Travaglia, Stefano",Italy,ITA,TRA,male,2008.0,right,60.0,224.0,80.0,185.0,1991-12-28,2.2021,1.2022,,,,
sr:competitor:51009,"Kuzmanov, Dimitar",Bulgaria,BGR,KUZ,male,2009.0,right,159.0,438.0,72.0,183.0,1993-07-28,8.2022,4.2019,,,,
sr:competitor:534043,"Darderi, Luciano",Italy,ITA,DAR,male,,right,32.0,104.0,,,2002-02-14,8.2024,8.2022,,,,
sr:competitor:225052,"Tabur, Clement",France,FRA,TAB,male,,,202.0,385.0,,,2000-01-24,3.2024,3.202,,,,
sr:competitor:341192,"Comesana, Francisco",Argentina,ARG,COM,male,,right,87.0,257.0,,,2000-10-06,5.2024,5.2023,Lotto,Lotto,Head,
sr:competitor:63090,"Fatic, Nerman",Bosnia & Herzegovina,BIH,FAT,male,,right,191.0,449.0,86.0,191.0,1994-10-24,8.2023,3.2022,,,,
sr:competitor:83661,"Ymer, Elias",Sweden,SWE,YME,male,2014.0,right,105.0,188.0,79.0,183.0,1996-04-10,6.2018,10.2017,,,,
sr:competitor:822798,"Marinkov, Pavle",Australia,AUS,MAR,male,,right,,,,,2006-02-04,,,,,,
sr:competitor:44547,"Albot, Radu",Moldova,MDA,ALB,male,2008.0,right,39.0,56.0,69.0,175.0,1989-11-11,8.2019,4.2019,,,,
sr:competitor:392066,"Navone, Mariano",Argentina,ARG,NAV,male,,,29.0,295.0,,,2001-02-27,6.2024,10.2024,Joma,Joma,Head,
sr:competitor:204117,"Ugo Carabelli, Camilo",Argentina,ARG,UGO,male,,right,91.0,232.0,83.0,185.0,1999-06-17,8.2024,3.2022,Joma,Joma,Head,Blue Owl | Midea
sr:competitor:501672,"Svajda, Zachary",USA,USA,SVA,male,,,102.0,,,,2002-11-29,8.2024,,,,,
sr:competitor:309954,"Droguet, Titouan",France,FRA,DRO,male,,right,130.0,211.0,,,2001-06-15,6.2024,4.2023,,,,
sr:competitor:44549,"Cecchinato, Marco",Italy,ITA,CEC,male,2010.0,right,16.0,169.0,78.0,185.0,1992-09-30,2.2019,6.2016,Joma,Joma,Babolat,
sr:competitor:210526,"Kopriva, Vit",Czechia,CZE,KOP,male,,right,111.0,261.0,69.0,178.0,1997-06-15,9.2023,10.2022,,,,
sr:competitor:89320,"Ivashka, Ilya",Neutral,,IVA,male,2013.0,right,40.0,317.0,84.0,193.0,1994-02-24,6.2022,6.2023,Hydrogen,Nike,Head,
sr:competitor:108767,"Hassan, Benjamin",Lebanon,LBN,HAS,male,,right,143.0,210.0,85.0,183.0,1995-02-04,6.2024,10.2024,,,,
sr:competitor:754563,"Jin, Jeremy",Australia,AUS,JIN,male,,right,,,,,2004-06-27,,,,,,
sr:competitor:43761,"Collarini, Andrea",Argentina,ARG,COL,male,2010.0,left,177.0,193.0,80.0,185.0,1992-01-31,4.2023,8.2022,,,,
sr:competitor:223714,"Piros, Zsombor",Hungary,HUN,PIR,male,2016.0,right,106.0,,68.0,180.0,1999-10-13,3.2024,,,,,
sr:competitor:57759,"Oliveira, Gonzalo",Venezuela,VEN,OLI,male,2012.0,left,194.0,77.0,79.0,185.0,1995-02-17,12.2017,8.202,,,,
sr:competitor:294300,"Nakashima, Brandon",USA,USA,NAK,male,,right,35.0,240.0,,,2001-08-03,9.2024,6.2024,Fila,Fila,Babolat ? Yonex,Motorola | Factor
sr:competitor:49663,"Escoffier, Antoine",France,FRA,ESC,male,,right,135.0,214.0,78.0,185.0,1992-02-29,10.2023,5.2024,,,,
sr:competitor:337601,"Bu, Yunchaokete",China,CHN,YUN,male,,right,66.0,274.0,,,2002-01-19,11.2024,10.2023,,,,
sr:competitor:131566,"Nagal, Sumit",India,IND,NAG,male,2015.0,right,68.0,416.0,69.0,178.0,1997-08-16,7.2024,7.2023,,,,
sr:competitor:157808,"Harris, Lloyd",South Africa,ZAF,HAR,male,2015.0,right,31.0,108.0,80.0,193.0,1997-02-24,9.2021,6.2022,,,,
sr:competitor:33115,"Millman, John",Australia,AUS,MIL,male,2006.0,right,33.0,165.0,79.0,183.0,1989-06-14,10.2018,6.2018,,,,
sr:competitor:104967,"Brouwer, Gijs",Netherlands,NLD,BRO,male,,left,114.0,148.0,72.0,191.0,1996-03-14,2.2023,8.2022,,,,
sr:competitor:66086,"Kicker, Nicolas",Argentina,ARG,KIC,male,2009.0,right,78.0,215.0,75.0,178.0,1992-08-16,6.2017,5.2016,,,,
sr:competitor:269521,"Cressy, Maxime",USA,USA,CRE,male,,right,31.0,64.0,86.0,198.0,1997-05-08,8.2022,5.2023,New Balance,New Balance,Babolat,
sr:competitor:503814,"Mochizuki, Shintaro",Japan,JPN,MOC,male,,right,129.0,371.0,,,2003-06-02,11.2023,10.2021,,,,
sr:competitor:247607,"Shimabukuro, Sho",Japan,JPN,SHI,male,,right,135.0,376.0,,,1997-07-30,10.2023,9.2024,,,,
sr:competitor:100069,"Sachko, Vitaliy",Ukraine,UKR,SAC,male,,right,156.0,149.0,,,1997-07-14,7.2023,5.2022,,,,
